dep;jour;P;T;cl_age90;pop
01;2020-06-02;0;47;69;73500
01;2020-06-02;0;47;79;51011
01;2020-06-02;1;41;89;26830
01;2020-06-02;2;17;90;7395
01;2020-06-02;3;419;0;656955
01;2020-06-03;0;18;09;83001
01;2020-06-03;0;25;19;84665
01;2020-06-03;1;50;29;65496
01;2020-06-03;1;31;39;85588
01;2020-06-03;0;39;49;89678
01;2020-06-03;0;42;59;89791
01;2020-06-03;0;40;69;73500
01;2020-06-03;0;22;79;51011
01;2020-06-03;0;27;89;26830
01;2020-06-03;0;7;90;7395
01;2020-06-03;2;301;0;656955
01;2020-06-04;0;20;09;83001
01;2020-06-04;0;29;19;84665
01;2020-06-04;0;47;29;65496
01;2020-06-04;0;38;39;85588
01;2020-06-04;0;57;49;89678
01;2020-06-04;0;54;59;89791
01;2020-06-04;0;35;69;73500
01;2020-06-04;0;29;79;51011
01;2020-06-04;0;26;89;26830
01;2020-06-04;0;14;90;7395
01;2020-06-04;0;349;0;656955
01;2020-06-05;0;17;09;83001
01;2020-06-05;0;24;19;84665
01;2020-06-05;0;29;29;65496
01;2020-06-05;1;38;39;85588
01;2020-06-05;0;40;49;89678
01;2020-06-05;0;50;59;89791
01;2020-06-05;2;39;69;73500
01;2020-06-05;0;35;79;51011
01;2020-06-05;2;37;89;26830
01;2020-06-05;0;19;90;7395
01;2020-06-05;5;328;0;656955
01;2020-06-06;0;9;09;83001
01;2020-06-06;0;16;19;84665
01;2020-06-06;1;25;29;65496
01;2020-06-06;0;25;39;85588
01;2020-06-06;2;18;49;89678
01;2020-06-06;0;24;59;89791
01;2020-06-06;0;13;69;73500
01;2020-06-06;0;10;79;51011
01;2020-06-06;0;13;89;26830
01;2020-06-06;0;6;90;7395
01;2020-06-06;3;159;0;656955
01;2020-06-07;0;1;09;83001
01;2020-06-07;0;1;19;84665
01;2020-06-07;0;2;29;65496
01;2020-06-07;0;6;39;85588
01;2020-06-07;0;5;49;89678
01;2020-06-07;0;6;59;89791
01;2020-06-07;0;9;69;73500
01;2020-06-07;0;8;79;51011
01;2020-06-07;1;7;89;26830
01;2020-06-07;0;1;90;7395
01;2020-06-07;1;46;0;656955
01;2020-06-08;0;28;09;83001
01;2020-06-08;0;29;19;84665
01;2020-06-08;0;39;29;65496
01;2020-06-08;0;45;39;85588
01;2020-06-08;0;38;49;89678
01;2020-06-08;0;47;59;89791
01;2020-06-08;0;33;69;73500
01;2020-06-08;0;37;79;51011
01;2020-06-08;0;31;89;26830
01;2020-06-08;0;11;90;7395
01;2020-06-08;0;338;0;656955
01;2020-06-09;0;25;09;83001
01;2020-06-09;0;19;19;84665
01;2020-06-09;0;33;29;65496
01;2020-06-09;0;29;39;85588
01;2020-06-09;1;40;49;89678
01;2020-06-09;0;34;59;89791
01;2020-06-09;0;27;69;73500
01;2020-06-09;0;31;79;51011
01;2020-06-09;0;22;89;26830
01;2020-06-09;0;13;90;7395
01;2020-06-09;1;273;0;656955
01;2020-06-10;0;17;09;83001
01;2020-06-10;0;17;19;84665
01;2020-06-10;0;46;29;65496
01;2020-06-10;0;52;39;85588
01;2020-06-10;0;31;49;89678
01;2020-06-10;0;44;59;89791
01;2020-06-10;0;34;69;73500
01;2020-06-10;0;23;79;51011
01;2020-06-10;0;29;89;26830
01;2020-06-10;1;24;90;7395
01;2020-06-10;1;317;0;656955
01;2020-06-11;0;18;09;83001
01;2020-06-11;2;20;19;84665
01;2020-06-11;2;28;29;65496
01;2020-06-11;0;31;39;85588
01;2020-06-11;1;29;49;89678
01;2020-06-11;0;22;59;89791
01;2020-06-11;3;37;69;73500
01;2020-06-11;0;29;79;51011
01;2020-06-11;0;25;89;26830
01;2020-06-11;0;8;90;7395
01;2020-06-11;8;247;0;656955
01;2020-06-12;0;26;09;83001
01;2020-06-12;1;34;19;84665
01;2020-06-12;2;29;29;65496
01;2020-06-12;0;41;39;85588
01;2020-06-12;1;53;49;89678
01;2020-06-12;0;43;59;89791
01;2020-06-12;0;33;69;73500
01;2020-06-12;0;25;79;51011
01;2020-06-12;0;30;89;26830
01;2020-06-12;0;13;90;7395
01;2020-06-12;4;327;0;656955
01;2020-06-13;0;8;09;83001
01;2020-06-13;0;12;19;84665
01;2020-06-13;0;15;29;65496
01;2020-06-13;0;17;39;85588
01;2020-06-13;0;18;49;89678
01;2020-06-13;0;14;59;89791
01;2020-06-13;0;21;69;73500
01;2020-06-13;0;16;79;51011
01;2020-06-13;0;13;89;26830
01;2020-06-13;0;6;90;7395
01;2020-06-13;0;140;0;656955
01;2020-06-14;0;3;09;83001
01;2020-06-14;0;2;19;84665
01;2020-06-14;0;3;29;65496
01;2020-06-14;0;1;39;85588
01;2020-06-14;0;5;49;89678
01;2020-06-14;1;8;59;89791
01;2020-06-14;0;7;69;73500
01;2020-06-14;0;8;79;51011
01;2020-06-14;0;5;89;26830
01;2020-06-14;0;8;90;7395
01;2020-06-14;1;50;0;656955
01;2020-06-15;0;25;09;83001
01;2020-06-15;0;24;19;84665
01;2020-06-15;0;36;29;65496
01;2020-06-15;0;42;39;85588
01;2020-06-15;0;45;49;89678
01;2020-06-15;0;43;59;89791
01;2020-06-15;0;39;69;73500
01;2020-06-15;0;41;79;51011
01;2020-06-15;0;34;89;26830
01;2020-06-15;0;12;90;7395
01;2020-06-15;0;341;0;656955
01;2020-06-16;0;20;09;83001
01;2020-06-16;1;28;19;84665
01;2020-06-16;1;42;29;65496
01;2020-06-16;0;35;39;85588
01;2020-06-16;0;30;49;89678
01;2020-06-16;0;44;59;89791
01;2020-06-16;0;25;69;73500
01;2020-06-16;0;33;79;51011
01;2020-06-16;1;27;89;26830
01;2020-06-16;0;7;90;7395
01;2020-06-16;3;291;0;656955
01;2020-06-17;0;28;09;83001
01;2020-06-17;0;15;19;84665
01;2020-06-17;0;43;29;65496
01;2020-06-17;2;28;39;85588
01;2020-06-17;1;29;49;89678
01;2020-06-17;0;49;59;89791
01;2020-06-17;0;31;69;73500
01;2020-06-17;0;30;79;51011
01;2020-06-17;0;39;89;26830
01;2020-06-17;2;21;90;7395
01;2020-06-17;5;313;0;656955
01;2020-06-18;1;12;09;83001
01;2020-06-18;0;22;19;84665
01;2020-06-18;1;31;29;65496
01;2020-06-18;2;30;39;85588
01;2020-06-18;0;39;49;89678
01;2020-06-18;0;45;59;89791
01;2020-06-18;0;21;69;73500
01;2020-06-18;0;35;79;51011
01;2020-06-18;0;22;89;26830
01;2020-06-18;0;8;90;7395
01;2020-06-18;4;265;0;656955
01;2020-06-19;0;15;09;83001
01;2020-06-19;0;28;19;84665
01;2020-06-19;0;28;29;65496
01;2020-06-19;1;36;39;85588
01;2020-06-19;0;37;49;89678
01;2020-06-19;0;41;59;89791
01;2020-06-19;1;36;69;73500
01;2020-06-19;0;42;79;51011
01;2020-06-19;1;31;89;26830
01;2020-06-19;0;13;90;7395
01;2020-06-19;3;307;0;656955
01;2020-06-20;0;17;09;83001
01;2020-06-20;0;13;19;84665
01;2020-06-20;0;11;29;65496
01;2020-06-20;0;22;39;85588
01;2020-06-20;1;26;49;89678
01;2020-06-20;1;21;59;89791
01;2020-06-20;1;32;69;73500
01;2020-06-20;1;18;79;51011
01;2020-06-20;0;10;89;26830
01;2020-06-20;0;8;90;7395
01;2020-06-20;4;178;0;656955
01;2020-06-21;0;1;09;83001
01;2020-06-21;0;1;19;84665
01;2020-06-21;0;1;29;65496
01;2020-06-21;0;3;39;85588
01;2020-06-21;0;1;49;89678
01;2020-06-21;0;4;59;89791
01;2020-06-21;0;9;69;73500
01;2020-06-21;0;5;79;51011
01;2020-06-21;0;4;89;26830
01;2020-06-21;0;4;90;7395
01;2020-06-21;0;33;0;656955
01;2020-06-22;0;39;09;83001
01;2020-06-22;2;46;19;84665
01;2020-06-22;0;41;29;65496
01;2020-06-22;0;64;39;85588
01;2020-06-22;1;61;49;89678
01;2020-06-22;1;65;59;89791
01;2020-06-22;0;55;69;73500
01;2020-06-22;0;50;79;51011
01;2020-06-22;1;37;89;26830
01;2020-06-22;0;14;90;7395
01;2020-06-22;5;472;0;656955
01;2020-06-23;1;26;09;83001
01;2020-06-23;1;29;19;84665
01;2020-06-23;3;47;29;65496
01;2020-06-23;0;41;39;85588
01;2020-06-23;0;51;49;89678
01;2020-06-23;2;57;59;89791
01;2020-06-23;0;41;69;73500
01;2020-06-23;1;39;79;51011
01;2020-06-23;2;37;89;26830
01;2020-06-23;0;11;90;7395
01;2020-06-23;10;379;0;656955
01;2020-06-24;0;25;09;83001
01;2020-06-24;0;32;19;84665
01;2020-06-24;1;27;29;65496
01;2020-06-24;0;44;39;85588
01;2020-06-24;1;39;49;89678
01;2020-06-24;0;39;59;89791
01;2020-06-24;0;32;69;73500
01;2020-06-24;0;34;79;51011
01;2020-06-24;0;47;89;26830
01;2020-06-24;0;15;90;7395
01;2020-06-24;2;334;0;656955
01;2020-06-25;0;22;09;83001
01;2020-06-25;0;25;19;84665
01;2020-06-25;3;41;29;65496
01;2020-06-25;0;38;39;85588
01;2020-06-25;0;42;49;89678
01;2020-06-25;0;22;59;89791
01;2020-06-25;0;31;69;73500
01;2020-06-25;1;30;79;51011
01;2020-06-25;1;39;89;26830
01;2020-06-25;0;27;90;7395
01;2020-06-25;5;317;0;656955
01;2020-06-26;0;75;09;83001
01;2020-06-26;3;50;19;84665
01;2020-06-26;0;41;29;65496
01;2020-06-26;1;61;39;85588
01;2020-06-26;2;38;49;89678
01;2020-06-26;1;62;59;89791
01;2020-06-26;0;43;69;73500
01;2020-06-26;0;32;79;51011
01;2020-06-26;0;36;89;26830
01;2020-06-26;1;20;90;7395
01;2020-06-26;8;458;0;656955
01;2020-06-27;1;27;09;83001
01;2020-06-27;0;16;19;84665
01;2020-06-27;0;17;29;65496
01;2020-06-27;0;25;39;85588
01;2020-06-27;2;29;49;89678
01;2020-06-27;2;24;59;89791
01;2020-06-27;1;39;69;73500
01;2020-06-27;0;22;79;51011
01;2020-06-27;0;21;89;26830
01;2020-06-27;0;13;90;7395
01;2020-06-27;6;233;0;656955
01;2020-06-28;0;3;09;83001
01;2020-06-28;0;6;19;84665
01;2020-06-28;0;3;29;65496
01;2020-06-28;0;2;39;85588
01;2020-06-28;0;4;49;89678
01;2020-06-28;0;5;59;89791
01;2020-06-28;0;7;69;73500
01;2020-06-28;0;9;79;51011
01;2020-06-28;0;10;89;26830
01;2020-06-28;0;8;90;7395
01;2020-06-28;0;57;0;656955
01;2020-06-29;1;100;09;83001
01;2020-06-29;1;60;19;84665
01;2020-06-29;0;55;29;65496
01;2020-06-29;3;80;39;85588
01;2020-06-29;0;81;49;89678
01;2020-06-29;0;65;59;89791
01;2020-06-29;1;48;69;73500
01;2020-06-29;0;54;79;51011
01;2020-06-29;0;34;89;26830
01;2020-06-29;0;16;90;7395
01;2020-06-29;6;593;0;656955
01;2020-06-30;0;75;09;83001
01;2020-06-30;2;54;19;84665
01;2020-06-30;1;66;29;65496
01;2020-06-30;2;81;39;85588
01;2020-06-30;1;65;49;89678
01;2020-06-30;1;70;59;89791
01;2020-06-30;0;47;69;73500
01;2020-06-30;0;42;79;51011
01;2020-06-30;0;29;89;26830
01;2020-06-30;0;15;90;7395
01;2020-06-30;8;546;0;656955
01;2020-07-01;0;64;09;83001
01;2020-07-01;1;60;19;84665
01;2020-07-01;0;78;29;65496
01;2020-07-01;0;79;39;85588
01;2020-07-01;1;65;49;89678
01;2020-07-01;0;48;59;89791
01;2020-07-01;0;35;69;73500
01;2020-07-01;0;29;79;51011
01;2020-07-01;1;26;89;26830
01;2020-07-01;0;10;90;7395
01;2020-07-01;3;494;0;656955
01;2020-07-02;0;114;09;83001
01;2020-07-02;0;66;19;84665
01;2020-07-02;0;55;29;65496
01;2020-07-02;0;81;39;85588
01;2020-07-02;0;68;49;89678
01;2020-07-02;0;35;59;89791
01;2020-07-02;0;37;69;73500
01;2020-07-02;0;28;79;51011
01;2020-07-02;0;27;89;26830
01;2020-07-02;0;10;90;7395
01;2020-07-02;0;521;0;656955
01;2020-07-03;1;128;09;83001
01;2020-07-03;0;100;19;84665
01;2020-07-03;0;71;29;65496
01;2020-07-03;0;64;39;85588
01;2020-07-03;0;70;49;89678
01;2020-07-03;1;79;59;89791
01;2020-07-03;0;37;69;73500
01;2020-07-03;0;49;79;51011
01;2020-07-03;0;39;89;26830
01;2020-07-03;1;16;90;7395
01;2020-07-03;3;653;0;656955
01;2020-07-04;0;54;09;83001
01;2020-07-04;0;32;19;84665
01;2020-07-04;0;28;29;65496
01;2020-07-04;1;40;39;85588
01;2020-07-04;0;24;49;89678
01;2020-07-04;0;26;59;89791
01;2020-07-04;0;22;69;73500
01;2020-07-04;0;28;79;51011
01;2020-07-04;0;23;89;26830
01;2020-07-04;0;9;90;7395
01;2020-07-04;1;286;0;656955
01;2020-07-05;0;8;09;83001
01;2020-07-05;0;1;19;84665
01;2020-07-05;0;2;29;65496
01;2020-07-05;0;5;39;85588
01;2020-07-05;0;2;49;89678
01;2020-07-05;0;7;59;89791
01;2020-07-05;0;11;69;73500
01;2020-07-05;0;5;79;51011
01;2020-07-05;0;10;89;26830
01;2020-07-05;0;5;90;7395
01;2020-07-05;0;56;0;656955
01;2020-07-06;0;89;09;83001
01;2020-07-06;1;62;19;84665
01;2020-07-06;0;61;29;65496
01;2020-07-06;0;90;39;85588
01;2020-07-06;0;79;49;89678
01;2020-07-06;0;71;59;89791
01;2020-07-06;0;71;69;73500
01;2020-07-06;0;33;79;51011
01;2020-07-06;1;36;89;26830
01;2020-07-06;0;18;90;7395
01;2020-07-06;2;610;0;656955
01;2020-07-07;1;95;09;83001
01;2020-07-07;1;55;19;84665
01;2020-07-07;2;60;29;65496
01;2020-07-07;0;91;39;85588
01;2020-07-07;0;62;49;89678
01;2020-07-07;0;60;59;89791
01;2020-07-07;1;46;69;73500
01;2020-07-07;0;35;79;51011
01;2020-07-07;0;30;89;26830
01;2020-07-07;0;9;90;7395
01;2020-07-07;5;543;0;656955
01;2020-07-08;0;94;09;83001
01;2020-07-08;0;64;19;84665
01;2020-07-08;0;101;29;65496
01;2020-07-08;0;130;39;85588
01;2020-07-08;2;75;49;89678
01;2020-07-08;0;51;59;89791
01;2020-07-08;0;40;69;73500
01;2020-07-08;1;38;79;51011
01;2020-07-08;0;20;89;26830
01;2020-07-08;0;4;90;7395
01;2020-07-08;3;617;0;656955
01;2020-07-09;0;73;09;83001
01;2020-07-09;0;52;19;84665
01;2020-07-09;1;95;29;65496
01;2020-07-09;1;122;39;85588
01;2020-07-09;0;69;49;89678
01;2020-07-09;1;63;59;89791
01;2020-07-09;0;54;69;73500
01;2020-07-09;0;35;79;51011
01;2020-07-09;0;46;89;26830
01;2020-07-09;0;32;90;7395
01;2020-07-09;3;642;0;656955
01;2020-07-10;0;111;09;83001
01;2020-07-10;0;63;19;84665
01;2020-07-10;1;75;29;65496
01;2020-07-10;1;131;39;85588
01;2020-07-10;0;95;49;89678
01;2020-07-10;0;77;59;89791
01;2020-07-10;1;69;69;73500
01;2020-07-10;0;61;79;51011
01;2020-07-10;0;58;89;26830
01;2020-07-10;0;27;90;7395
01;2020-07-10;3;767;0;656955
01;2020-07-11;0;41;09;83001
01;2020-07-11;0;33;19;84665
01;2020-07-11;0;34;29;65496
01;2020-07-11;0;37;39;85588
01;2020-07-11;0;35;49;89678
01;2020-07-11;0;26;59;89791
01;2020-07-11;0;29;69;73500
01;2020-07-11;0;24;79;51011
01;2020-07-11;0;11;89;26830
01;2020-07-11;0;9;90;7395
01;2020-07-11;0;279;0;656955
01;2020-07-12;0;3;09;83001
01;2020-07-12;0;4;19;84665
01;2020-07-12;0;4;29;65496
01;2020-07-12;0;3;39;85588
01;2020-07-12;0;3;49;89678
01;2020-07-12;0;6;59;89791
01;2020-07-12;0;9;69;73500
01;2020-07-12;0;5;79;51011
01;2020-07-12;1;9;89;26830
01;2020-07-12;0;4;90;7395
01;2020-07-12;1;50;0;656955
01;2020-07-13;0;46;09;83001
01;2020-07-13;0;78;19;84665
01;2020-07-13;0;85;29;65496
01;2020-07-13;0;118;39;85588
01;2020-07-13;0;93;49;89678
01;2020-07-13;0;87;59;89791
01;2020-07-13;0;78;69;73500
01;2020-07-13;0;52;79;51011
01;2020-07-13;0;39;89;26830
01;2020-07-13;0;16;90;7395
01;2020-07-13;0;692;0;656955
01;2020-07-14;0;4;09;83001
01;2020-07-14;0;3;19;84665
01;2020-07-14;0;4;29;65496
01;2020-07-14;0;3;39;85588
01;2020-07-14;0;1;49;89678
01;2020-07-14;0;3;59;89791
01;2020-07-14;0;6;69;73500
01;2020-07-14;0;8;79;51011
01;2020-07-14;0;11;89;26830
01;2020-07-14;0;7;90;7395
01;2020-07-14;0;50;0;656955
01;2020-07-15;0;58;09;83001
01;2020-07-15;1;75;19;84665
01;2020-07-15;0;93;29;65496
01;2020-07-15;1;134;39;85588
01;2020-07-15;1;108;49;89678
01;2020-07-15;0;95;59;89791
01;2020-07-15;0;77;69;73500
01;2020-07-15;0;45;79;51011
01;2020-07-15;0;29;89;26830
01;2020-07-15;0;10;90;7395
01;2020-07-15;3;724;0;656955
01;2020-07-16;0;51;09;83001
01;2020-07-16;0;75;19;84665
01;2020-07-16;0;109;29;65496
01;2020-07-16;0;144;39;85588
01;2020-07-16;0;85;49;89678
01;2020-07-16;0;73;59;89791
01;2020-07-16;0;60;69;73500
01;2020-07-16;0;45;79;51011
01;2020-07-16;0;26;89;26830
01;2020-07-16;0;11;90;7395
01;2020-07-16;0;679;0;656955
01;2020-07-17;0;46;09;83001
01;2020-07-17;0;65;19;84665
01;2020-07-17;0;92;29;65496
01;2020-07-17;2;117;39;85588
01;2020-07-17;0;81;49;89678
01;2020-07-17;1;76;59;89791
01;2020-07-17;2;86;69;73500
01;2020-07-17;0;48;79;51011
01;2020-07-17;1;38;89;26830
01;2020-07-17;0;14;90;7395
01;2020-07-17;6;663;0;656955
01;2020-07-18;0;15;09;83001
01;2020-07-18;0;40;19;84665
01;2020-07-18;0;51;29;65496
01;2020-07-18;1;61;39;85588
01;2020-07-18;2;60;49;89678
01;2020-07-18;0;45;59;89791
01;2020-07-18;0;34;69;73500
01;2020-07-18;0;29;79;51011
01;2020-07-18;1;17;89;26830
01;2020-07-18;0;9;90;7395
01;2020-07-18;4;361;0;656955
01;2020-07-19;0;2;09;83001
01;2020-07-19;0;1;19;84665
01;2020-07-19;0;4;29;65496
01;2020-07-19;0;5;39;85588
01;2020-07-19;0;5;49;89678
01;2020-07-19;0;8;59;89791
01;2020-07-19;0;9;69;73500
01;2020-07-19;0;4;79;51011
01;2020-07-19;0;13;89;26830
01;2020-07-19;0;6;90;7395
01;2020-07-19;0;57;0;656955
01;2020-07-20;0;44;09;83001
01;2020-07-20;0;77;19;84665
01;2020-07-20;0;93;29;65496
01;2020-07-20;0;100;39;85588
01;2020-07-20;0;92;49;89678
01;2020-07-20;1;76;59;89791
01;2020-07-20;1;88;69;73500
01;2020-07-20;1;63;79;51011
01;2020-07-20;0;24;89;26830
01;2020-07-20;0;14;90;7395
01;2020-07-20;3;671;0;656955
01;2020-07-21;0;50;09;83001
01;2020-07-21;0;82;19;84665
01;2020-07-21;5;91;29;65496
01;2020-07-21;2;116;39;85588
01;2020-07-21;1;87;49;89678
01;2020-07-21;1;67;59;89791
01;2020-07-21;0;76;69;73500
01;2020-07-21;0;50;79;51011
01;2020-07-21;1;44;89;26830
01;2020-07-21;0;11;90;7395
01;2020-07-21;10;674;0;656955
01;2020-07-22;0;36;09;83001
01;2020-07-22;0;67;19;84665
01;2020-07-22;2;122;29;65496
01;2020-07-22;2;108;39;85588
01;2020-07-22;1;89;49;89678
